Id_bien;Cod_depcom;No_voie;Btq;Type_voie;Voie;Code_postal;Com_ad;Surface_Carrez;Type_local;Nb_pieces;Surface_terrain
28703;06088;3;;RUE;FODERE;6300;NICE;22.24;Appartement;2;
28704;06088;19;;BD;RAIMBALDI;6000;NICE;73.07;Appartement;3;
28705;06088;186;;AV;DE PESSICART;6100;NICE;72.05;Appartement;3;
28706;06088;188;;AV;DE FABRON;6200;NICE;22.49;Appartement;1;
28707;06120;5;;RUE;DROITE;6660;SAINT-ETIENNE-DE-TINEE;19.32;Appartement;1;
28708;06155;135;;AV;DE LA LIBERTE;6220;VALLAURIS;21.08;Appartement;1;
28709;06161;281;;CHE;DE GAROUMIOU;6270;VILLENEUVE-LOUBET;82.3;Maison;4;
28710;11145;2;;AV;DES GOELANDS;11560;FLEURY D AUDE;19.05;Maison;1;
28711;11202;268;;RES;TERRASSES MEDITERRANEE 1;11370;LEUCATE;21.2;Appartement;2;
28712;13212;44;;AV;VINCENT VAN GOGH;13012;MARSEILLE 12EME;35.5;Appartement;2;
28713;13213;153;;CHE;DE CHATEAU GOMBERT;13013;MARSEILLE 13EME;88.13;Appartement;5;
28714;14701;5522;;;MONT CANISY;14800;TOURGEVILLE;40.36;Appartement;2;
28715;14715;22;;RUE;CIRCULAIRE;14360;TROUVILLE-SUR-MER;21.06;Appartement;2;
28716;14754;9005;;VC;RES LE FRANCE;14640;VILLERS-SUR-MER;32.84;Appartement;2;
28717;17028;4;;BD;DU COMMANDANT CHARCOT;17440;AYTRE;38.8;Appartement;2;
28718;22282;2;;RUE;DES AJONCS D OR;22380;SAINT-CAST-LE-GUILDO;54.31;Appartement;2;
28719;22339;4;;RUE;DU BOCAGE;22100;TADEN;47.72;Appartement;2;
28720;22339;9;;RUE;DU PRE D'AHAUT;22100;TADEN;83.76;Maison;4;
28721;26058;5;;PL;PLACE DES RENCONTRES;26500;BOURG LES VALENCE;67.6;Appartement;3;
28722;26198;9;;ALL;DES URSULINES;26200;MONTELIMAR;55.02;Appartement;2;
28723;26218;23;;RUE;DES VIOLETTES;26540;MOURS-SAINT-EUSEBE;92.1;Maison;5;590
28724;26362;15;;AV;DU VERCORS;26000;VALENCE;57.24;Appartement;3;
28725;27681;8;;RUE;DE LA NATION;27200;VERNON;103.94;Appartement;4;
28726;27681;11;T;RUE;ALEXIS DE TOCQUEVILLE;27200;VERNON;61.84;Appartement;3;
28727;27681;11;T;RUE;ALEXIS DE TOCQUEVILLE;27200;VERNON;66.21;Appartement;3;
28728;28209;8;;AV;DE LA PAIX;28300;LEVES;24.07;Appartement;1;
28729;29019;2;;RUE;DES DEUX FRERES GUEZENEC;29200;BREST;49.3;Appartement;2;
28730;29103;2;;RUE;DU DOCTEUR POULIQUEN;29800;LANDERNEAU;53.74;Appartement;3;
28731;2A130;5810;;RES;HTS JARDINS PORTICCIO;20166;GROSSETO-PRUGNA;47.87;Appartement;3;
28732;2A130;5400;;VGE;DE TERRA BELLA;20166;GROSSETO-PRUGNA;30.81;Appartement;2;
28733;30189;15;;RUE;JOSIAS PAUT;30000;NIMES;51.95;Appartement;3;
28734;30276;18;;CHE;DE VACARESSE;30220;SAINT-LAURENT-D AIGOUZE;34.72;Appartement;2;
28735;31555;160;;RUE;DU FAUBOURG BONNEFOY;31500;TOULOUSE;22.24;Appartement;2;
28736;32096;5906;;RUE;DU VERT GALANT;32150;CAZAUBON;27;Appartement;1;
28737;33039;8;;ALL;DES TERRES NEUVES;33130;BEGLES;41.98;Appartement;2;
28738;33063;8;;RUE;MONADEY;33800;BORDEAUX;72.55;Appartement;3;
28739;33063;145;;RUE;SAINTE CATHERINE;33000;BORDEAUX;46.25;Appartement;2;
28740;33063;208;;RUE;DE L ECOLE NORMALE CAUD;33200;BORDEAUX;24.97;Appartement;1;
28741;33199;60;;CRS;DE VERDUN;33470;GUJAN MESTRAS;92.12;Appartement;4;
28742;33281;18;;RUE;DE GUIRAUTON;33700;MERIGNAC;47.79;Appartement;2;
